Nome do repositório,Link
Camaradosdeputados,https://github.com/Rickecr/CamaraDosDeputados/
Technojam-frontend,https://github.com/technojam/technojam-frontend/
Babywearing,https://github.com/rubyforgood/babywearing/
Automated-grading,https://github.com/oneturkmen/automated-grading/
Webpacker,https://github.com/rails/webpacker/
Touvlo,https://github.com/Benardi/touvlo/
Cucumber-ruby,https://github.com/cucumber/cucumber-ruby/
Issueai,https://github.com/OpenDevUFCG/IssueAi/
Rate_limit_control,https://github.com/boniattirodrigo/rate_limit_control/
30-days-of-code,https://github.com/sagarchoudhary96/30-Days-Of-Code/
Ldap-client-rb,https://github.com/shadowmaru/ldap-client-rb/
Cajeh-backend,https://github.com/Cajeh/cajeh-backend/
Carambolo,https://github.com/marclerodrigues/carambolo/
Neomap,https://github.com/stellasia/neomap/
Community-index,https://github.com/noahwaldner/community-index/
Shelf_officer,https://github.com/yottanami/shelf_officer/
Cssstyler,https://github.com/AmirMehrabi/cssstyler/
React-resume,https://github.com/aamay001/react-resume/
Cucumber,https://github.com/hackathon-grupo7/cucumber/
Stoken,https://github.com/cernekee/stoken/
Coral,https://github.com/rubyforgood/coral/
Sparked-client,https://github.com/SparkEdUAB/sparked-client/
Carambolo,https://github.com/teresinahc/carambolo/
Colabora_bot,https://github.com/colaboradados/colabora_bot/
Safadeza-generator,https://github.com/bartier/safadeza-generator/
Cajehform,https://github.com/ES2-UFPI/CajehForm/
Template-studio-v2,https://github.com/accordproject/template-studio-v2/
Site,https://github.com/reactnatal/site/
Villain,https://github.com/btzr-io/Villain/
Sentry-cli-orb,https://github.com/PicturePipe/sentry-cli-orb/
Circleci-ruby-orbs,https://github.com/sue445/circleci-ruby-orbs/
Collection_filters,https://github.com/andrerpbts/collection_filters/
Mastodon,https://github.com/tootsuite/mastodon/
Rcg-project,https://github.com/MEHDI-ROBATJAZI/RCG-PROJECT/
Row-jam-bow,https://github.com/nuzcraft/row-jam-bow/
City-scrapers,https://github.com/City-Bureau/city-scrapers/
Bmi-calculator,https://github.com/GermaVinsmoke/bmi-calculator/
Gerador-de-goblins-malditos,https://github.com/hack-and-slash/gerador-de-goblins-malditos/
Formik,https://github.com/jaredpalmer/formik/
Pseudo_kiosk,https://github.com/jonmchan/pseudo_kiosk/
Ctrlp.vim,https://github.com/ctrlpvim/ctrlp.vim/
Github-graphs,https://github.com/jrtechs/github-graphs/
Omniscrapper_hq,https://github.com/omniscrapper/omniscrapper_hq/
React-notifications,https://github.com/minhtranite/react-notifications/
Poscomp,https://github.com/OpenDevUFCG/poscomp/
Onepass,https://github.com/onepassapp/onepass/
Dswedashboard,https://github.com/nacaceres/DSWEDashboard/
Ofrontendacabou,https://github.com/kvnol/ofrontendacabou/
Oh-my-zsh,https://github.com/robbyrussell/oh-my-zsh/
Lobsters,https://github.com/lobsters/lobsters/
Depend-on-me,https://github.com/fatcat2/depend-on-me/
Sugarizer,https://github.com/llaske/sugarizer/
Invidious,https://github.com/omarroth/invidious/
Stradivari,https://github.com/ifad/stradivari/
Social-share-button,https://github.com/huacnlee/social-share-button/
Gatsby-theme-careers,https://github.com/iagodahlem/gatsby-theme-careers/
Dontfile,https://github.com/MatheusRich/dontfile/
Images-to-pdf,https://github.com/Swati4star/Images-to-PDF/
Sailor,https://github.com/gurleensethi/sailor/
Rubytoolbox,https://github.com/rubytoolbox/rubytoolbox/
Dbs-scraper,https://github.com/hay-espacio-en-el-taco/dbs-scraper/
Html-search-bot-3.6,https://github.com/TCsTheMechanic/HTML-Search-BOT-3.6
Addressable,https://github.com/sporkmonger/addressable/
Multi-account-containers,https://github.com/mozilla/multi-account-containers/
Sherlock,https://github.com/sherlock-project/sherlock/
Dayjs,https://github.com/iamkun/dayjs/
Gatsby-source-s3-image,https://github.com/jessestuart/gatsby-source-s3-image/
Speakerinnen_liste,https://github.com/rubymonsters/speakerinnen_liste/
Leaflet-environmental-layers,https://github.com/publiclab/leaflet-environmental-layers/
Fetch,https://github.com/Kaleido-Biosciences/fetch/
Swapmyvote,https://github.com/swapmyvote/swapmyvote/
